#{"t_start": 1668888091.39069, "env_id": null}
r,l,t
-10.0,5,36.04067
-10.-10.0,13,36.078-5,20-5,20,36.279-5,2-5,20,36.482719
-10.0,2,36.4986-5,20,36.666568
-10.0,20,36.859987
19.0-5,20,36.99479-5,-5,20,37.197562
-10.0,2,37.213635
-10.0,2,37.232718
-10.0,16,37.387599
-5,20,37.593809
-5,20,37.796474
-5,20,37.994905
-10.0,2,38.010645
-10.0,2,38.02889
-10.0,9,38.11791
13.0,8,38.205413
-5,20,38.412206
-5,20,38.612334
-10.0,2,38.628477
-5,20,38.84321
-10.0,5,38.887223
-10.0,2,38.90573
-10.0,2,38.923837
-5,20,39.124985
-10.0,2,39.141441
-10.0,8,39.225225
-10.0,3,39.257035
-10.0,15,39.399652
-5,20,39.603859
-5,20,39.806739
-10.0,9,39.894-5,20-10.0,14,40.033927
-5,20,40.233548
-10.0,2,40.249164
-10.0,2,40.268-10.0-5,20,40.464419
-5,20,40.658539
-10.0,15,40.800146
-10.0,2,40.818001-5,20,40.884801
-10.0,16,41.032889
-10.0,7,41.102017
-5,20,41.309705
-10.0,15,41.455385
-5,20,41.656096
6.0,15,41.815562
-5,20,42.012969
-10.0,6,42.065677
-10.0,20,42.258227
-10.0,16,42.423656
-5,20,42.621816
-10.0,2,42.637057
-10.0,14,42.765505-5,20,42.780247
-5,20,42.974072
-10.0,5,43.024401
-5,20,43.222409
-10.-5,20,43.398538
-5,20,43.605462
-10.0,13,43.722697
-10.0,2,43.741432
-10.0,9,43.824136-1-5,20,44.025977
-10.0,11,44.131095
-10.0,1,44.14078-5,20,44.333651
-10.-5,20,44.468696-5-10.0,10,44.562-10.0,20,44.7274
-5,20,44.933178
-10.0,1,44.94137
-10.0,1,44.951061
-5,20,45.144712
-5,20,45.34861
-5,20,45.548476
-5,20,45.737982
-5,20,45.92213
-5,20,46.124243
-5,20,46.32268
-10.0,8,46.397843
-10.0,13,46.530294
-5,20,46.732905
-5,20,46.932909
-10.0,16,47.075326
-5,20,47.27507
-5,20,47.476546
-5,20,47.663053
-10.0,12,47.779815
-5,20,47.977002
-10.0,3,48.002591
-5,20,48.196995
-10.0,14,48.336244
-10.0,9,48.41849
-10.0,13,48.553934
-10.0,7,48.618552
-5,20,48.811176
-5,20,49.009214
-10.0,6,49.069492
-10.0,9,49.151972
-5,20,49.351843
-5,20,49.55716
-10.0,13,49.674612
-10.0,3,49.702789
-10.0,16,49.857572
-5,20,50.062987
-10.0,3,50.087929
-5,20,50.293987
-5,20,50.497444
-10.0,7,50.560078
-10.0,5,50.612192
-5,20,50.815351
-10.0,8,50.887276
-10.0,3,50.920969
-10.0,3,50.948972
-5,20,51.150377
-5,20,51.347539
-10.0,15,51.493414
-5,20,51.691316
-10.0,4,51.726181
-10.0,15,51.868609
-10.0,9,51.964314
9.0,12,52.095963
-10.0,18,52.283535
-5,20,52.484249
-10.0,1,52.490842
-10.0,2,52.515985
-10.0,11,52.616173
-10.0,1,52.625024
-10.0,1,52.634558
-5,20,52.827331
-5,20,53.025332
-5,20,53.234067
-10.0,10,53.324527
-5,20,53.521991
-10.0,3,53.550125
-5,20,53.749425
-10.0,1,53.756029
-10.0,6,53.812367
-10.0,1,53.821722
-5,20,54.02386
-5,20,54.222153
-10.0,8,54.29813
-5,20,54.507763
-10.0,1,54.514294
-5,20,54.726142
-10.0,3,54.756606
-10.0,6,54.818782
-10.0,4,54.861966
-10.0,2,54.882456
-10.0,16,55.037665
-5,20,55.241566
18.0,3,55.27432
-10.0,19,55.448044
-5,20,55.636655
-10.0,7,55.702909
-10.0,3,55.729019
12.0,9,55.821693
-10.0,5,55.867172
-10.0,3,55.894511
-10.0,15,56.051489
-10.0,7,56.116474
-10.0,2,56.146105
-10.0,14,56.287517
-10.0,10,56.388239
-10.0,11,56.489506
-5,20,56.691024
-10.0,17,56.856984
-10.0,16,57.01121
-10.0,2,57.035864
-10.0,8,57.119353
-10.0,2,57.138283
-5,20,57.345608
-5,20,57.545721
-5,20,57.733144
-10.0,3,57.758574
-10.0,12,57.869268
6.0,15,58.00939
-10.0,11,58.117449
-5,20,58.306205
-10.0,13,58.430883
-5,20,58.631356
-10.0,2,58.64667
-10.0,7,58.710469
-5,20,58.895888
12.0,9,58.986402
-5,20,59.169791
-10.0,6,59.223279
-10.0,7,59.292516
-5,20,59.491482
-10.0,6,59.548014
-5,20,59.737601
-5,20,59.935233
-10.0,4,59.970022
-10.0,14,60.109689
-10.0,4,60.144451
-10.0,7,60.210655
-5,20,60.415854
-10.0,13,60.53316
-5,20,60.735796
-5,20,60.939387
-5,20,61.135381
-10.0,9,61.218018
-10.0,11,61.317704
-5,20,61.512455
-10.0,1,61.518928
-10.0,1,61.527404
-10.0,2,61.54609
19.0,2,61.571171
-10.0,1,61.580295
-10.0,3,61.605663
-10.0,12,61.716953
-5,20,61.911865
-10.0,3,61.935253
-10.0,8,62.017188
-5,20,62.213162
-5,20,62.407559
-10.0,19,62.583661
-10.0,3,62.610678
-10.0,6,62.668317
-10.0,11,62.773664
-5,20,62.968304
-5,20,63.163894
-10.0,8,63.24213
-10.0,1,63.250351
-10.0,4,63.28687
-5,20,63.485436
-10.0,8,63.560241
-5,20,63.765641
13.0,8,63.848135
-10.0,6,63.900489
-10.0,14,64.03995
-10.0,4,64.074828
-10.0,20,64.26592
-10.0,10,64.353832
-10.0,3,64.385415
-5,20,64.576433
-10.0,1,64.58301
-10.0,1,64.59108
-10.0,2,64.608005
-10.0,5,64.657861
-10.0,20,64.848469
8.0,13,64.982931
-10.0,17,65.137755
-5,20,65.343091
-10.0,17,65.510367
-10.0,3,65.538526
-5,20,65.736662
-5,20,65.927134
-10.0,8,66.001097
-10.0,2,66.023413
14.0,7,66.098262
-5,20,66.301424
-10.0,1,66.308293
-10.0,7,66.38167
-10.0,1,66.390965
-10.0,16,66.536292
11.0,10,66.644988
-5,20,66.83418
-10.0,13,66.951261
-10.0,5,67.005377
-10.0,1,67.013907-10.0,19,67.163516
-5,20,67.367249
-10.0,1,67.37421
-5,20,67.582363
-5,20,67.783596
-10.0,1,67.792328
-5,20,67.997257
-5,20,68.200343
-5,20,68.415307
-5,20,68.609554
-10.0,15,68.755254
-10.0,1,68.76467
-10.0,4,68.805261
-10.0,16,68.960169
-10.0,19,69.139634
-5,20,69.332285
-10.0,10,69.427066
-10.0,8,69.504596
-10.0,1,69.512673
-10.0,19,69.696419
-10.0,3,69.724623
-10.0,1,69.733872
-10.0,2,69.756269
-10.0,8,69.830136
-5,20,70.028474
-5,20,70.225459
-10.0,4,70.273357
-10.0,19,70.452043
-10.0,12,70.564202
