#{"t_start": 1669216680.5227418, "env_id": null}
r,l,t
-10.0,15,17.375239
-10.0,7,17.415833
-5,20,17.537983
-10.0,1,17.543846
7.0,14,17.631149
-5,20,17.752549
-10.0,16,17.845262
-10.0,9,17.900146
-10.0,1,17.906028
-10.0,11,17.96983
-10.0,6,18.00477
-10.0,5,18.033765
-5,20,18.155428
19.0,2,18.17272
-10.0,3,18.190109
-10.0,18,18.29513
-10.0,1,18.300966
-10.0,11,18.3647
-10.0,19,18.475378
-10.0,3,18.492799
15.0,6,18.533477
-5,20,18.655523
-10.0,1,18.66141
-10.0,5,18.691565
-5,20,18.813493
-10.0,16,18.906307
-10.0,8,18.952796
-5,20,19.074024
-10.0,11,19.137837
-10.0,1,19.143767
-10.0,7,19.184152
-5,20,19.305864
-10.0,8,19.352618
-10.0,1,19.358464
13.0,8,19.410522
-5,20,19.531627
-10.0,4,19.554829
13.0,8,19.60695
-10.0,11,19.671089
-10.0,2,19.682751
-10.0,9,19.734813
-10.0,1,19.740646
17.0,4,19.769531
-5,20,19.89162
18.0,3,19.914661
-5,20,20.035927
-10.0,6,20.071047
-10.0,2,20.082675
-10.0,4,20.105982
-10.0,1,20.11188
-10.0,8,20.158658
-10.0,1,20.164511
-5,20,20.286391
-10.0,18,20.391301
17.0,4,20.42032
11.0,10,20.484246
20.0,1,20.495692
-5,20,20.617754
-5,20,20.739887
-10.0,3,20.757584
-10.0,19,20.868339
-10.0,7,20.908878
-10.0,1,20.914691
-10.0,7,20.955757
-5,20,21.076878
-10.0,2,21.088559
-10.0,3,21.106011
-5,20,21.228241
-10.0,4,21.251586
-5,20,21.37776
-10.0,5,21.406979
-10.0,2,21.418674
-10.0,4,21.441953
-5,20,21.564327
17.0,4,21.593384
-10.0,15,21.680443
17.0,4,21.709364
-10.0,11,21.774189
7.0,14,21.861623
-10.0,2,21.873419
-5,20,21.995445
-10.0,10,22.053635
-5,20,22.175586
-10.0,13,22.251865
-5,20,22.373849
16.0,5,22.408595
-10.0,4,22.432017
-10.0,14,22.517288
-10.0,20,22.63383
-5,20,22.755438
-10.0,1,22.761337
-10.0,2,22.773125
-10.0,14,22.854268
-10.0,4,22.877734
-10.0,1,22.883555
-10.0,11,22.9475
18.0,3,22.970594
-10.0,13,23.046587
-10.0,8,23.093114
-10.0,8,23.139786
7.0,14,23.227391
-10.0,18,23.332471
6.0,15,23.425351
-5,20,23.547357
-10.0,1,23.55324
-10.0,5,23.58251
-10.0,10,23.647705
-10.0,7,23.688457
-5,20,23.810411
11.0,10,23.874245
-5,20,23.996089
-10.0,10,24.054262
-10.0,2,24.066033
-10.0,1,24.071873
-10.0,1,24.07776
-5,20,24.199803
-10.0,5,24.228997
-10.0,15,24.31654
-10.0,1,24.322491
12.0,9,24.380464
-10.0,6,24.415767
-10.0,16,24.508755
-5,20,24.630612
-10.0,3,24.648921
-10.0,19,24.760742
-10.0,1,24.766609
16.0,5,24.801384
-10.0,12,24.871993
11.0,10,24.936134
-5,20,25.05849
-10.0,2,25.070158
-10.0,2,25.081897
-10.0,4,25.105214
-5,20,25.227252
-10.0,9,25.279686
-5,20,25.402148
-10.0,11,25.466835
-10.0,16,25.559859
-5,20,25.682687
18.0,3,25.705886
-10.0,10,25.76425
-10.0,4,25.787614
-5,20,25.909757
-10.0,8,25.9563
-5,20,26.080347
6.0,15,26.173637
-10.0,10,26.232136
-5,20,26.35486
-10.0,9,26.407526
-10.0,13,26.483172
13.0,8,26.53557
-10.0,12,26.605527
-5,20,26.727684
-10.0,3,26.745245
-10.0,2,26.756959
-10.0,15,26.844486
-10.0,1,26.850427
-10.0,17,26.949364
-10.0,7,26.990633
-10.0,3,27.008899
17.0,4,27.038192
-5,20,27.16465
-10.0,1,27.170577
-10.0,14,27.252014
-10.0,14,27.334335
-5,20,27.461435
-10.0,1,27.467396
-10.0,17,27.566695
16.0,5,27.601656
-10.0,2,27.613389
16.0,5,27.648176
-5,20,27.771351
-10.0,1,27.777204
-10.0,4,27.800659
-10.0,1,27.806585
-10.0,1,27.812501
-5,20,27.939173
-5,20,28.061039
-5,20,28.183356
-5,20,28.3134
-5,20,28.435334
-5,20,28.558084
-10.0,3,28.57567
-5,20,28.697717
-10.0,15,28.786347
-5,20,28.908415
-10.0,1,28.91434
-10.0,2,28.926109
19.0,2,28.943504
-5,20,29.065303
-10.0,4,29.08882
-10.0,3,29.106561
-5,20,29.229563
-5,20,29.352918
-10.0,19,29.464206
19.0,2,29.481566
20.0,1,29.49308
-10.0,6,29.528359
-10.0,1,29.534241
-10.0,19,29.64614
2.0,19,29.7631
-5,20,29.885651
-10.0,4,29.909101
-5,20,30.031484
-10.0,9,30.083886
-10.0,7,30.124854
-10.0,4,30.148469
-10.0,12,30.218897
5.0,16,30.318181
-5,20,30.441025
-10.0,13,30.517216
-5,20,30.63971
-10.0,7,30.680982
-10.0,4,30.704561
5.0,16,30.803821
-10.0,5,30.833468
-10.0,8,30.88022
-10.0,8,30.926878
-10.0,16,31.020373
18.0,3,31.043525
-10.0,5,31.072723
-10.0,2,31.084449
-10.0,4,31.108007
-10.0,2,31.120882
-5,20,31.243001
-10.0,19,31.35335
-10.0,6,31.38856
-10.0,8,31.435516
-10.0,15,31.523048
-5,20,31.645174
-10.0,11,31.709695
-10.0,8,31.756615
-10.0,2,31.768517
-10.0,2,31.78028
-10.0,11,31.845265
-10.0,3,31.863091
-10.0,8,31.910084
-5,20,32.032552
-10.0,3,32.050141
-10.0,2,32.061782
-10.0,9,32.114261
-10.0,3,32.131838
-5,20,32.254071
-5,20,32.376667
-10.0,14,32.459278
-10.0,4,32.482702
-10.0,5,32.51228
20.0,1,32.523844
-10.0,15,32.611694
-5,20,32.73435
-10.0,3,32.752174
-10.0,2,32.763924
-10.0,16,32.857457
17.0,4,32.886647
-10.0,15,32.974516
-10.0,9,33.027117
14.0,7,33.073775
-10.0,1,33.079708
-10.0,5,33.10917
-10.0,3,33.126691
-10.0,1,33.132579
-10.0,12,33.202681
-10.0,1,33.208561
-10.0,1,33.214447
-10.0,2,33.226214
-5,20,33.348806
2.0,19,33.466
-10.0,2,33.477794
-10.0,15,33.565948
-10.0,10,33.6249
-10.0,19,33.736518
-5,20,33.859312
-5,20,33.981997
-10.0,6,34.017276
-10.0,6,34.052224
-5,20,34.175301
-10.0,7,34.216115
-10.0,5,34.245282
-10.0,3,34.262798
-10.0,2,34.274577
-10.0,11,34.339169
7.0,14,34.426654
-10.0,7,34.467781
-10.0,4,34.491223
-10.0,8,34.538299
-10.0,2,34.550071
-10.0,8,34.596874
12.0,9,34.65551
17.0,4,34.684647
18.0,3,34.707803
-10.0,6,34.742826
19.0,2,34.760145
-10.0,6,34.795434
11.0,10,34.862633
-5,20,34.985132
-5,20,35.107135
-10.0,20,35.224125
-10.0,12,35.294434
-5,20,35.420488
-10.0,1,35.426473
-10.0,1,35.432319
-10.0,8,35.478866
-5,20,35.602225
-10.0,5,35.631446
-10.0,9,35.683831
-10.0,2,35.695483
-10.0,1,35.701334
-5,20,35.823234
-10.0,4,35.846544
-10.0,13,35.921944
-10.0,1,35.927821
-10.0,6,35.966543
-5,20,36.088936
-10.0,2,36.100668
-5,20,36.222469
-10.0,1,36.228342
-10.0,4,36.25175
-5,20,36.374515
