#{"t_start": 1669114487.7611988, "env_id": null}
r,l,t-5-10.0,4,154.580951
-10.0,7,305.78606
-5,20,621.477553
-5,20,941.267521
-5,20,1260.205049
10.0,11,1577.403431
-5,20,1900.85247
10.0,11,2220.004201
13.0,8,2541.452686
18.0,3,2863.5526
15.0,6,3185.364594
14.0,7,3509.674582
13.0,8,3841.949909
14.0,7,4175.604275
14.0,7,4509.0318
9.0,12,4843.441355
11.0,10,5177.776417
7.0,14,5511.961683
18.0,3,5845.228168
8.0,13,6177.03242
35833
-5,20,3.061524
-5,20,3.185427
-5,20,3.310488
-10.0,1,3.316498
-5,20,3.440756
11.0,10,3.505386
-10.0,14,3.587606
-10.0,1,3.593554
-10.0,4,3.618008
-10.0,2,3.630028
-5,20,3.753136
-10.0,1,3.758996
-10.0,18,3.863907
-10.0,19,3.976435
-10.0,20,4.094748
-5,20,4.218102
-10.0,8,4.265325
-5,20,4.388687
-5,20,4.512076
-5,20,4.636152
-5,20,4.761372
-5,20,4.884584
2.0,19,5.005148
-5,20,5.135455
-10.0,16,5.229591
-5,20,5.352705
-10.0,1,5.358641
-10.0,16,5.453317
-5,20,5.576646
-10.0,5,5.606059
-10.0,9,5.65886
-10.0,12,5.729522
-5,20,5.852652
-10.0,9,5.905627
-10.0,5,5.935234
-10.0,8,5.982313
-5,20,6.105829
-5,20,6.229474
-10.0,4,6.253372
-10.0,2,6.265219
-5,20,6.388328
-5,20,6.511641
-10.0,11,6.576232
-10.0,8,6.622939
-10.0,3,6.64063
-5,20,6.764059
-5,20,6.887738
-5,20,7.011306
-10.0,13,7.088172
-10.0,13,7.164766
-10.0,1,7.170648
-5,20,7.294351
-5,20,7.417595
-5,20,7.540574
-10.0,2,7.552448
-10.0,9,7.605378
-10.0,5,7.634947
-10.0,3,7.652711
-10.0,16,7.747139
-5,20,7.868871
-10.0,11,7.93285
-5,20,8.054559
-10.0,13,8.130283
-10.0,7,8.171725
-10.0,2,8.18348
-5,20,8.305724
-5,20,8.427183
-5,20,8.548986
-10.0,10,8.607358
-5,20,8.729742
-10.0,5,8.759251
-10.0,15,8.846679
-10.0,12,8.915894
-10.0,2,8.927537
-10.0,3,8.94513
-10.0,8,8.991357
-10.0,2,9.003001
-5,20,9.125845
-10.0,11,9.189584
-5,20,9.311142
-10.0,3,9.328719
