i,r,x,y,gx,gy
1,0,423.19998,300.0,1,4
2,0,411.99997,300.0,2,4
3,0,400.79996,300.0,3,4
4,0,389.59995,300.0,4,4
5,0,378.39993,300.0,5,4
6,0,367.19992,300.0,6,4
7,0,355.9999,300.0,7,4
8,0,344.7999,300.0,8,4
9,0,333.59988,300.0,9,4
10,0,322.39987,300.0,10,4
11,0,311.19986,300.0,11,4
12,9.0,299.99985,300.0,12,4
